Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
 World,Antarctica,2016,EXPIMP,Plastic or Rubber,424.28,63.51,0.7,0.62,,,,4.92,5.04,16,68.75,31.25,0,0,10,0,0,56.88,1.42,8.72,4.73,1366,75.26,23.72,0,87.5,400,0,0,58.29,0
 World,Fr. So. Ant. Tr,2016,EXPIMP,Plastic or Rubber,2025.2,1.56,5.07,0.01,,,,7.75,5.98,4,75,25,0,0,20,0,0,0.11,0.12,9.66,10.25,634,81.23,17.82,0,150,50,0,0,0.23,0
 World,Antigua and Barbuda,2016,EXPIMP,Plastic or Rubber,13061.18,261.47,1.03,0.1,1,-0.95,-0.95,1,1.4,281,16.73,83.27,0,0,20,0,0,107.74,238.7,10.45,6.32,15560,80.28,18.46,9.61,59.79,400,0,229.04,346.44,0
 World,Australia,2016,EXPIMP,Plastic or Rubber,8812698.83,1184183.12,4.15,0.59,1,-0.79,-0.79,5.75,7.16,9157,67.54,31.77,0.01,0.68,400,0,6825.82,1069891.06,381.93,8.03,8.26,41542,75.05,23.68,0.49,5.27,400,0,38431.31,1070273,0
 World,Austria,2016,EXPIMP,Plastic or Rubber,7567941.83,7299663.55,5.16,5.09,1,-0.33,-0.33,4.31,4.87,10686,57.24,42.55,0.01,0.2,50,0,27628.23,1618236.78,496.2,8.02,8.13,40362,75.17,23.59,0.3,4.37,400,0,41837.66,1618732.97,0
 World,Azerbaijan,2016,EXPIMP,Plastic or Rubber,366867.65,135773.45,3.81,1.05,1,19.37,19.37,1.19,2.96,517,29.01,70.99,0,0,25,0,0,129202.77,2779.1,9.92,4.73,20417,79.29,19.55,3.87,41.97,400,0,559.29,131981.87,0
 World,Burundi,2016,EXPIMP,Plastic or Rubber,17420.79,48.79,3.87,0.03,1,25.89,25.89,3.69,1.82,37,29.73,70.27,0,0,25,0,0,3.4,16.93,12.67,10.81,5060,82.23,16.4,59.46,127.03,400,0,4.31,20.33,0
 World,Belgium,2016,EXPIMP,Plastic or Rubber,19259204.12,26376585.14,5.78,8.7,1,3.37,3.37,5.78,4.68,15418,61.98,37.81,0.03,0.18,400,0,101104.28,5317913.01,1941.34,8.02,6.24,41686,75.02,23.71,0.29,3.15,400,0,221369.32,5319854.35,0
 World,Benin,2016,EXPIMP,Plastic or Rubber,135972.7,2246.32,2.32,0.21,1,-6.16,-6.16,3.24,5.33,153,27.45,72.55,0,0,50,0,0,2727.24,242.45,10.65,11.49,12901,79.82,18.98,16.99,84.97,400,0,128.43,2969.68,0
 World,Bonaire,2016,EXPIMP,Plastic or Rubber,8774.63,6.44,1.96,0.06,,,,2.17,3.16,4,50,50,0,0,6.5,0,0,0.86,0.32,10.85,10.74,475,82.32,16.63,25,100,50,0,0.32,1.18,0
 World,Burkina Faso,2016,EXPIMP,Plastic or Rubber,386213.44,512.63,14.33,0.03,1,11.82,11.82,1.13,0.53,188,25.53,74.47,0,0,25,0,0,128.42,714.39,10.61,8.11,11522,80.48,18.35,11.7,60.11,400,0,78.14,842.81,0
 World,Bangladesh,2016,EXPIMP,Plastic or Rubber,2282124.12,92164.78,4.98,0.24,,,,4.64,14.2,1987,59.49,40.46,0,0.05,400,0,0,90027.29,2354.08,9.07,11.61,23194,77.86,21,0.7,12.58,400,0,5417.24,92381.37,0
 World,Bulgaria,2016,EXPIMP,Plastic or Rubber,1662201.03,879579.29,5.64,3.45,1,3.48,3.48,3.42,3.9,4489,53.58,46.27,0.02,0.13,30,0,4091.75,224271.81,386.24,8.42,8.52,36302,76,22.76,0.82,9.18,400,0,7313.77,224658.05,0
 World,Bahrain,2016,EXPIMP,Plastic or Rubber,399650.91,218427.52,3.07,2.84,1,-3.22,-3.22,5.98,7.66,1393,53.91,46.09,0,0,400,0,0,175651.35,8116.43,8.95,8.88,24084,77.28,21.61,1.29,17.88,400,0,8212.32,183767.78,0
 World,"Bahamas, The",2016,EXPIMP,Plastic or Rubber,76670.08,84027.99,0.97,5.37,,,,2.93,6.62,376,36.44,63.3,0,0.27,22.25,0,0,105214.81,477.16,10.59,5.33,12537,79.07,19.75,6.91,32.45,400,0,119.72,105691.97,0
 World,Bosnia and Herzegovina,2016,EXPIMP,Plastic or Rubber,938357.9,190465.81,7.03,3.52,1,3.16,3.16,0.86,3.14,1667,23.76,76.24,0,0,30,0,0,150562.23,26906.57,8.73,12.63,30760,76.81,21.93,1.86,21.42,400,0,11240.14,177468.8,0
 World,Saint Barthélemy,2016,EXPIMP,Plastic or Rubber,4283.81,144.69,2.98,1.15,,,,5.97,5.39,34,82.35,17.65,0,0,11.9,0,0,23.99,0,10.44,10.54,1970,76.75,22.28,0,55.88,50,0,0,23.99,0
 World,Belarus,2016,EXPIMP,Plastic or Rubber,1736176.46,1112572.85,6.11,6.06,1,2.09,2.09,2.72,3.68,2851,49.32,50.68,0,0,50,0,0,1061473.97,26294.67,8.3,8.78,37575,75.93,22.84,1.12,15.08,400,0,60517.23,1087768.64,0
 World,Belize,2016,EXPIMP,Plastic or Rubber,41069.13,1862.68,4.63,0.47,1,-3.31,-3.31,3.4,2.16,367,39.24,60.49,0.27,0,30,0,3.66,466.96,536.01,9.64,10.45,11355,78.59,20.4,1.09,30.25,400,0,10.63,1002.97,0
 World,Bermuda,2016,EXPIMP,Plastic or Rubber,18549.61,1853.36,0.56,0.41,1,4.66,4.66,10.25,5.16,60,73.33,26.67,0,0,20,0,0,1837.88,0.01,11.31,4.89,5095,79.43,19.59,6.67,76.67,400,0,1.68,1837.89,0
 World,Bolivia,2016,EXPIMP,Plastic or Rubber,480197.77,3271.4,6.49,0.05,1,-3.1,-3.1,4.28,1.21,572,47.03,52.62,0.17,0.17,20,0,17.67,3317.09,692.46,9.34,5.67,14832,78.63,20.35,1.75,24.65,400,0,52.7,4009.55,0
 World,Brazil,2016,EXPIMP,Plastic or Rubber,9694735.05,5047081.56,5.61,2.57,1,-8.8,-8.8,4.81,5.52,11343,59.29,40.54,0.02,0.15,50,0,70141.07,4481161.76,532.05,8.02,7.89,41710,75,23.73,0.4,4.26,400,0,522543.92,4481693.81,0
 World,Barbados,2016,EXPIMP,Plastic or Rubber,46142.14,4309.79,3.64,1.72,1,-1.3,-1.3,2.93,2.36,489,19.22,80.78,0,0,45,0,0,2161.35,1184.5,9.41,9.66,18340,78.57,20.4,1.23,37.63,400,0,56.37,3345.85,0
